OrderID,OrderDate,CustomerID,CustomerName,City,State,Country,ZipCode,TableNumber,ServerID,MenuItemID,MenuItemName,Category,SubCategory,Quantity,Sales,Discount,TotalCost,OrderStatus,PaymentStatus,DeliveryMethod,OrderPriority
O001,2024-10-13,C6726,"Nathan George",Rockford,IL,"United States",61101,12,S039,M099,Lahmacun,Turkish,Pastry,2,56.24,0.94,55.30,Pending,Paid,Takeaway,Medium
O002,2024-10-17,C4519,"Christina Parker",Naperville,IL,"United States",60540,14,S070,M113,"Fettuccine Alfredo",Italian,Pasta,2,213.70,3.29,210.41,Pending,Unpaid,Delivery,Medium
O003,2024-10-21,C3937,"Jason Clark",Aurora,IL,"United States",60505,16,S042,M132,Fasolada,Other,Miscellaneous,2,266.02,19.80,246.22,Cancelled,Unpaid,Dine-in,Medium
O004,2024-10-22,C428,"Kim Macias",Naperville,IL,"United States",60540,1,S086,M099,Lahmacun,Turkish,Pastry,5,140.60,3.62,136.98,Completed,Unpaid,Takeaway,Low
O005,2024-10-05,C8710,"George Rose",Peoria,IL,"United States",61602,13,S084,M034,Tzatziki,Greek,Appetizer,4,678.20,36.54,641.66,Completed,Paid,Delivery,Medium
O006,2024-10-05,C9375,"Joy Kelley",Peoria,IL,"United States",61602,14,S016,M083,Menemen,Other,Miscellaneous,3,245.19,5.50,239.69,Completed,Unpaid,Dine-in,High
O007,2024-10-20,C8524,"Brandy Patton",Peoria,IL,"United States",61602,13,S086,M011,"Imam Bayildi",Other,Miscellaneous,1,56.82,3.63,53.19,Pending,Unpaid,Dine-in,High
O008,2024-10-09,C4287,"Eric Myers",Naperville,IL,"United States",60540,9,S033,M008,Risotto,Other,Miscellaneous,3,502.92,48.17,454.75,Pending,Unpaid,Takeaway,Low
O009,2024-09-27,C8771,"Matthew Ortiz",Peoria,IL,"United States",61602,15,S086,M068,Baklava,Greek,Dessert,4,282.84,22.63,260.21,Pending,Unpaid,Takeaway,Medium
O010,2024-10-04,C9314,"Jason Hood",Peoria,IL,"United States",61602,17,S036,M114,"Shish Kebab",Turkish,Kebab,2,339.50,20.58,318.92,Cancelled,Paid,Dine-in,Medium
O011,2024-10-24,C2345,"Travis Nunez",Aurora,IL,"United States",60505,16,S074,M076,"Greek Salad",Greek,Salad,2,101.58,5.23,96.35,Completed,Unpaid,Dine-in,Medium
O012,2024-09-26,C1889,"Nancy Wright",Chicago,IL,"United States",60601,17,S001,M043,Moussaka,Greek,Casserole,2,81.18,0.01,81.17,Completed,Paid,Takeaway,Medium
O013,2024-10-17,C7833,"Samantha Brown",Rockford,IL,"United States",61101,13,S049,M147,Kofte,Turkish,Pastry,4,87.08,5.50,81.58,Completed,Unpaid,Takeaway,Medium
O014,2024-10-02,C1979,"Cynthia Riggs",Chicago,IL,"United States",60601,15,S032,M048,Ravioli,Italian,Pasta,3,475.77,12.67,463.10,Cancelled,Unpaid,Dine-in,Low
O015,2024-10-16,C6084,"Andrew Craig",Rockford,IL,"United States",61101,16,S040,M137,Lasagna,Italian,Pasta,3,494.79,44.94,449.85,Completed,Paid,Takeaway,High
