StaffID,FirstName,LastName,Role,Address,"Contact Number",Email,Salary
B004,Emily,Johnson,Bartender,"132 Bay Lane, Chicago, IL",708-872-3467,emily.j@littlelemon.com,"$33,000.00"
B009,Laura,Wilson,Bartender,"879 Sage Street, West Loop, Chicago, IL",708-798-7652,laura.w@littlelemon.com,"$31,000.00"
B015,Mia,Hall,Bartender,"879 Sage Street, West Loop, Chicago, IL",708-194-6846,mia.h@littlelemon.com,"$30,000.00"
B020,Lucas,Robinson,Bartender,"334 Dill Square, Lincoln Park, Chicago, IL",708-299-2567,lucas.r@littlelemon.com,"$29,000.00"
B026,Natalie,Mitchell,Bartender,"334 Dill Square, Lincoln Park, Chicago, IL",708-841-6668,natalie.m@littlelemon.com,"$30,500.00"
B031,Jackson,Gonzalez,Bartender,"724 Parsley Lane, Old Town, Chicago, IL",708-233-9427,jackson.g@littlelemon.com,"$28,000.00"
B038,Harper,Bennett,Bartender,"334 Dill Square, Lincoln Park, Chicago, IL",708-154-1284,harper.b@littlelemon.com,"$27,500.00"
B043,Isabella,Russell,Bartender,"724 Parsley Lane, Old Town, Chicago, IL",708-831-6300,isabella.r@littlelemon.com,"$29,000.00"
B050,Ethan,Price,Bartender,"334 Dill Square, Lincoln Park, Chicago, IL",708-063-8852,ethan.p@littlelemon.com,"$27,500.00"
C007,Jessica,Hernandez,"Assistant Chef","724 Parsley Lane, Old Town, Chicago, IL",630-440-9250,jessica.h@littlelemon.com,"$50,000.00"
C011,Sophia,Anderson,"Head Chef","989 Thyme Square, EdgeWater, Chicago, IL",630-028-5488,sophia.a@littlelemon.com,"$65,000.00"
C016,Ethan,Young,"Head Chef","132 Bay Lane, Chicago, IL",630-840-1463,ethan.y@littlelemon.com,"$65,000.00"
C021,Olivia,Evans,"Assistant Chef","879 Sage Street, West Loop, Chicago, IL",630-385-1546,olivia.e@littlelemon.com,"$55,000.00"
C027,Nathan,Torres,"Assistant Chef","879 Sage Street, West Loop, Chicago, IL",630-809-0447,nathan.t@littlelemon.com,"$57,000.00"
C032,Victoria,Hughes,"Assistant Chef","334 Dill Square, Lincoln Park, Chicago, IL",630-011-2308,victoria.h@littlelemon.com,"$59,000.00"
C036,Lily,James,"Assistant Chef","245 Dill Square, Lincoln Park, Chicago, IL",630-627-4372,lily.j@littlelemon.com,"$60,000.00"
